model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_DGI,0.6956111192703247,0.0005,256,
GNN_Embedder_DGI,0.6953387260437012,0.0005,128,
GNN_Embedder_DGI,0.6948909759521484,0.001,128,
GNN_Embedder_DGI,0.6945759654045105,0.001,256,
GNN_Embedder_GAE,0.6310217380523682,0.005,128,64.0
GNN_Embedder_GAE,0.6309458613395691,0.005,128,32.0
GNN_Embedder_GAE,0.6305170655250549,0.005,256,32.0
GNN_Embedder_GAE,0.625776469707489,0.01,256,32.0
GNN_Embedder_GAE,0.6253585815429688,0.005,256,64.0
GNN_Embedder_GAE,0.620672881603241,0.01,256,64.0
GNN_Embedder_GAE,0.6194650530815125,0.01,128,64.0
GNN_Embedder_GAE,0.6191686391830444,0.01,128,32.0
