model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_GAE,0.5963374376296997,0.005,256,64.0
GNN_Embedder_GAE,0.5949509739875793,0.005,256,32.0
GNN_Embedder_GAE,0.5905658006668091,0.005,128,32.0
GNN_Embedder_GAE,0.5717376470565796,0.01,256,32.0
GNN_Embedder_DGI,0.557803213596344,0.0005,128,
GNN_Embedder_DGI,0.5577711462974548,0.0005,256,
GNN_Embedder_DGI,0.5577477812767029,0.001,256,
GNN_Embedder_GAE,0.5506675243377686,0.01,256,64.0
GNN_Embedder_DGI,0.5472448468208313,0.001,128,
GNN_Embedder_GAE,0.5427506566047668,0.01,128,32.0
GNN_Embedder_GAE,0.5234019160270691,0.005,128,64.0
GNN_Embedder_GAE,0.5163739919662476,0.01,128,64.0
