model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_DGI,0.6352691650390625,0.001,256,
GNN_Embedder_DGI,0.6342579126358032,0.0005,256,
GNN_Embedder_DGI,0.6326888799667358,0.001,128,
GNN_Embedder_DGI,0.6294423341751099,0.0005,128,
GNN_Embedder_GAE,0.5948399901390076,0.005,128,64.0
GNN_Embedder_GAE,0.5947369337081909,0.005,128,32.0
GNN_Embedder_GAE,0.5933418273925781,0.005,256,32.0
GNN_Embedder_GAE,0.592798113822937,0.005,256,64.0
GNN_Embedder_GAE,0.5920476913452148,0.01,128,32.0
GNN_Embedder_GAE,0.5889775156974792,0.01,128,64.0
GNN_Embedder_GAE,0.5873820781707764,0.01,256,32.0
GNN_Embedder_GAE,0.5865458250045776,0.01,256,64.0
