model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_DGI_Graphlets,0.9658541083335876,0.001,128,
GNN_Embedder_DGI_Graphlets,0.9644768834114075,0.0005,256,
GNN_Embedder_GAE_Graphlets,0.8870591521263123,0.005,256,64.0
GNN_Embedder_GAE_Graphlets,0.8817442655563354,0.005,256,32.0
GNN_Embedder_GAE_Graphlets,0.8812785148620605,0.005,128,32.0
GNN_Embedder_GAE_Graphlets,0.8809163570404053,0.01,128,32.0
GNN_Embedder_GAE_Graphlets,0.8788080811500549,0.01,256,64.0
GNN_Embedder_GAE_Graphlets,0.8782621026039124,0.01,256,32.0
GNN_Embedder_GAE_Graphlets,0.8782364726066589,0.01,128,64.0
GNN_Embedder_GAE_Graphlets,0.878089189529419,0.005,128,64.0
GNN_Embedder_DGI_Graphlets,0.8440055251121521,0.001,256,
GNN_Embedder_DGI_Graphlets,0.8315820097923279,0.0005,128,
GNN_Embedder_DGI,0.6956111192703247,0.0005,256,
GNN_Embedder_DGI,0.6953387260437012,0.0005,128,
GNN_Embedder_DGI,0.6948909759521484,0.001,128,
GNN_Embedder_DGI,0.6945759654045105,0.001,256,
GNN_Embedder_GAE,0.6315725445747375,0.01,128,32.0
GNN_Embedder_GAE,0.6313410997390747,0.005,256,64.0
GNN_Embedder_GAE,0.6311869025230408,0.01,256,32.0
GNN_Embedder_GAE,0.6310216784477234,0.005,128,64.0
GNN_Embedder_GAE,0.6309458613395691,0.005,128,32.0
GNN_Embedder_GAE,0.6305170655250549,0.005,256,32.0
GNN_Embedder_GAE,0.6206825375556946,0.01,256,64.0
GNN_Embedder_GAE,0.6195196509361267,0.01,128,64.0
