model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_GAE_Graphlets,0.5865277051925659,0.005,256,32.0
GNN_Embedder_GAE_Graphlets,0.5865277051925659,0.01,256,32.0
GNN_Embedder_GAE_Graphlets,0.586444616317749,0.01,128,32.0
GNN_Embedder_GAE_Graphlets,0.5864222049713135,0.005,128,32.0
GNN_Embedder_GAE_Graphlets,0.5860936045646667,0.005,128,64.0
GNN_Embedder_GAE_Graphlets,0.5860936045646667,0.01,128,64.0
GNN_Embedder_GAE_Graphlets,0.5860613584518433,0.01,256,64.0
GNN_Embedder_GAE_Graphlets,0.5860613584518433,0.005,256,64.0
GNN_Embedder_GAE,0.5701169967651367,0.01,256,64.0
GNN_Embedder_DGI,0.557803213596344,0.0005,128,
GNN_Embedder_DGI,0.5577711462974548,0.0005,256,
GNN_Embedder_DGI,0.5577477812767029,0.001,256,
GNN_Embedder_GAE,0.5529272556304932,0.01,256,32.0
GNN_Embedder_DGI,0.5472448468208313,0.001,128,
GNN_Embedder_GAE,0.5468186140060425,0.005,256,32.0
GNN_Embedder_GAE,0.5465786457061768,0.005,256,64.0
GNN_Embedder_DGI_Graphlets,0.5459693670272827,0.001,256,
GNN_Embedder_DGI_Graphlets,0.5459638833999634,0.001,128,
GNN_Embedder_DGI_Graphlets,0.5459312200546265,0.0005,128,
GNN_Embedder_DGI_Graphlets,0.5459185838699341,0.0005,256,
GNN_Embedder_GAE,0.5336266756057739,0.005,128,64.0
GNN_Embedder_GAE,0.5309543609619141,0.01,128,32.0
GNN_Embedder_GAE,0.5201054215431213,0.005,128,32.0
GNN_Embedder_GAE,0.518297553062439,0.01,128,64.0
