model_name,best_silhouette,lr,hidden_channels,emb_dim
GNN_Embedder_DGI_Graphlets,0.8278173804283142,0.0005,256,
GNN_Embedder_DGI_Graphlets,0.827213704586029,0.0005,128,
GNN_Embedder_DGI_Graphlets,0.8262322545051575,0.001,256,
GNN_Embedder_DGI_Graphlets,0.8237086534500122,0.001,128,
GNN_Embedder_GAE_Graphlets,0.7412676215171814,0.01,256,64.0
GNN_Embedder_GAE_Graphlets,0.737459659576416,0.01,128,64.0
GNN_Embedder_GAE_Graphlets,0.6484206914901733,0.005,128,64.0
GNN_Embedder_DGI,0.6352691650390625,0.001,256,
GNN_Embedder_GAE_Graphlets,0.6348857879638672,0.005,256,32.0
GNN_Embedder_DGI,0.6342579126358032,0.0005,256,
GNN_Embedder_DGI,0.6326888799667358,0.001,128,
GNN_Embedder_DGI,0.6294423341751099,0.0005,128,
GNN_Embedder_GAE_Graphlets,0.6183274984359741,0.01,256,32.0
GNN_Embedder_GAE_Graphlets,0.6164584755897522,0.005,256,64.0
GNN_Embedder_GAE_Graphlets,0.6090863347053528,0.005,128,32.0
GNN_Embedder_GAE,0.5950796008110046,0.005,128,64.0
GNN_Embedder_GAE,0.5947369337081909,0.005,128,32.0
GNN_Embedder_GAE,0.5933418869972229,0.005,256,32.0
GNN_Embedder_GAE,0.592798113822937,0.005,256,64.0
GNN_Embedder_GAE,0.5890930891036987,0.01,128,32.0
GNN_Embedder_GAE,0.588921308517456,0.01,128,64.0
GNN_Embedder_GAE,0.5873819589614868,0.01,256,32.0
GNN_Embedder_GAE,0.5865458250045776,0.01,256,64.0
GNN_Embedder_GAE_Graphlets,0.5792596936225891,0.01,128,32.0
