Dataset,Model,Best k,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index
Cora,Feature-Based_Roles,7,0.4865723550319671,0.7009279809167052,1611.150390625
Cora,Feature-Based_Roles_Graphlets,3,0.9372466802597046,0.3978388817541172,3544.1689453125
Cora,GNN_Embedder_GAE,3,0.6122258901596069,0.5789573009762623,4108.03857421875
Cora,GNN_Embedder_DGI,3,0.6338770389556885,0.530556401952042,3315.86279296875
Actor,Feature-Based_Roles,5,0.5066839456558228,0.6688818302983217,7222.89306640625
Actor,Feature-Based_Roles_Graphlets,3,0.9496606588363647,0.3326644029107992,20701.458984375
Actor,GNN_Embedder_GAE,3,0.7593821883201599,0.347593102475575,8988.62109375
Actor,GNN_Embedder_DGI,3,0.695232629776001,0.5630870069012012,6426.50439453125
CLUSTER,Feature-Based_Roles,3,0.3759016990661621,0.8531182300295997,113.45661163330078
CLUSTER,Feature-Based_Roles_Graphlets,3,0.4726260900497436,0.6635692403213524,204.74853515625
CLUSTER,GNN_Embedder_GAE,7,0.5796869397163391,0.4349555040900459,551.0914306640625
CLUSTER,GNN_Embedder_DGI,5,0.5577976107597351,0.4552940815655118,340.50927734375
